Date,rolling_correlation
2018-11-02,-0.2889749940370418
2018-11-05,-0.27667596422785384
2018-11-06,-0.2740524503203544
2018-11-07,-0.2733741217198864
2018-11-08,-0.27525512020587517
2018-11-09,-0.2769497561719663
2018-11-12,-0.2781778198165067
2018-11-13,-0.2787855901881991
2018-11-14,-0.27712317984775386
2018-11-15,-0.2723621272969358
2018-11-16,-0.2757245264326136
2018-11-19,-0.2780852044470626
2018-11-20,-0.2800402822082347
2018-11-21,-0.28035938213327605
2018-11-22,-0.2805049260930457
2018-11-23,-0.2795491567533965
2018-11-26,-0.2798692291974794
2018-11-27,-0.2815660189841661
2018-11-28,-0.280889018601708
2018-11-29,-0.28282774296450036
2018-11-30,-0.2760275348849651
2018-12-03,-0.2747137538079195
2018-12-04,-0.2688993725406335
2018-12-05,-0.26838433854636445
2018-12-06,-0.26873687374115823
2018-12-07,-0.2648319001752507
2018-12-10,-0.2652052832582046
2018-12-11,-0.265592365389081
2018-12-12,-0.2688167238695538
2018-12-13,-0.2746879964838172
2018-12-14,-0.27690505979293345
2018-12-17,-0.273256384255967
2018-12-18,-0.2730046195554161
2018-12-19,-0.27579436268942237
2018-12-20,-0.2755417989161429
2018-12-21,-0.27532420920215983
2018-12-24,-0.2756949316211398
2018-12-26,-0.2712851144919977
2018-12-27,-0.2739818986400922
2018-12-28,-0.2783072635177018
2019-01-02,-0.2722005307237254
2019-01-03,-0.2752419246719503
2019-01-04,-0.2738761725881389
2019-01-07,-0.29155638000047107
2019-01-08,-0.2922091751140922
2019-01-09,-0.2845691643025841
2019-01-10,-0.28413631020616464
2019-01-11,-0.28444611277731263
2019-01-14,-0.2827239727636262
2019-01-15,-0.27659440527407403
2019-01-16,-0.2761364016572955
2019-01-17,-0.2744614815308232
2019-01-18,-0.27287574011313626
2019-01-21,-0.27270845808935595
2019-01-22,-0.2725627005250605
2019-01-23,-0.2741179350025301
2019-01-24,-0.27539860201291433
2019-01-25,-0.27159640772619437
2019-01-28,-0.2748852622190618
2019-01-29,-0.2744160906802678
2019-01-30,-0.27560151378080333
2019-01-31,-0.27498476984788944
2019-02-01,-0.2771458777730101
2019-02-07,-0.2791592908885395
2019-02-08,-0.2802831094366146
2019-02-11,-0.27588056693211055
2019-02-12,-0.275291441425712
2019-02-13,-0.2759349822178896
2019-02-14,-0.26845570556971304
2019-02-15,-0.2711490631167414
2019-02-18,-0.2721582703526199
2019-02-19,-0.27139217282561096
2019-02-20,-0.261475536154667
2019-02-21,-0.25951403112876065
2019-02-22,-0.2902777946817084
2019-02-25,-0.29606897717497677
2019-02-26,-0.28891613578198455
2019-02-27,-0.28370773031202284
2019-02-28,-0.28234250958399637
2019-03-04,-0.28359628381709284
2019-03-05,-0.27715935552540005
2019-03-06,-0.276965066275972
2019-03-07,-0.28078422176363754
2019-03-08,-0.2840752714284133
2019-03-11,-0.2927053642981848
2019-03-12,-0.29369570167589687
2019-03-13,-0.2929677031455003
2019-03-14,-0.28610341275455375
2019-03-15,-0.27950807409214967
2019-03-18,-0.28341474957596413
2019-03-19,-0.2816706239334338
2019-03-20,-0.28938795399253375
2019-03-21,-0.29498935775607527
2019-03-22,-0.3033184205632946
2019-03-25,-0.3044890164980443
2019-03-26,-0.30469049806909726
2019-03-27,-0.3042966804129876
2019-03-28,-0.30542555694999296
2019-03-29,-0.3083823143815085
2019-04-01,-0.30436181862007344
2019-04-02,-0.3063179061881277
2019-04-03,-0.3015377591683576
2019-04-04,-0.3001529845128832
2019-04-05,-0.2700544707177473
2019-04-08,-0.2723224737364807
2019-04-09,-0.2682991261305983
2019-04-10,-0.27039086956820824
2019-04-11,-0.2657241709869575
2019-04-12,-0.26299030128787826
2019-04-15,-0.2648588305968418
2019-04-16,-0.26562550667888213
2019-04-17,-0.27068361044188244
2019-04-18,-0.26702276429391014
2019-04-19,-0.26513981995457825
2019-04-22,-0.2717393405628898
2019-04-23,-0.26990461729347265
2019-04-24,-0.27232955229596195
2019-04-25,-0.2740831610120392
2019-04-26,-0.2774281742916088
2019-04-29,-0.27747509837039946
2019-04-30,-0.2777479281359666
2019-05-02,-0.2725665606142885
2019-05-03,-0.27231623588868425
2019-05-07,-0.27238411611095037
2019-05-08,-0.2732544025663787
2019-05-09,-0.2669160674552672
2019-05-10,-0.2666900391051317
2019-05-13,-0.2649565300656098
2019-05-14,-0.25840728589998896
2019-05-15,-0.25268708669355006
2019-05-16,-0.2498176792385087
2019-05-17,-0.24854546132236918
2019-05-20,-0.25363241139137643
2019-05-21,-0.25284798222724486
2019-05-23,-0.2526535006892318
2019-05-24,-0.2526733888026116
2019-05-27,-0.24872098043088142
2019-05-28,-0.24929570098196246
2019-05-29,-0.251349979882417
2019-05-30,-0.2505207646353302
2019-05-31,-0.2521410136743046
2019-06-03,-0.2544580662562805
2019-06-04,-0.2529946629712496
2019-06-05,-0.2522492199245742
2019-06-07,-0.25211459770622674
2019-06-10,-0.24692707120708884
2019-06-11,-0.24312109009823335
2019-06-12,-0.24355624549806143
2019-06-13,-0.2308022296307793
2019-06-14,-0.22646614679347865
2019-06-17,-0.23028028302933015
2019-06-18,-0.22863652964968167
2019-06-19,-0.23822302185361885
2019-06-20,-0.2361618895044123
2019-06-21,-0.22833878965370172
2019-06-24,-0.22938520456727507
2019-06-25,-0.22818308978862917
2019-06-26,-0.21818758078144537
2019-06-27,-0.2166139183846926
2019-06-28,-0.20741196250735583
2019-07-01,-0.2084733415802645
2019-07-02,-0.21695617294639385
2019-07-03,-0.22557942876352025
2019-07-04,-0.22532865710746983
2019-07-05,-0.22552584432379086
2019-07-08,-0.2334634520144157
2019-07-09,-0.23459492174032087
2019-07-10,-0.23038133717829354
2019-07-11,-0.23376775505488312
2019-07-12,-0.25087021418326394
2019-07-15,-0.2515451818120654
2019-07-16,-0.25245683835405
2019-07-17,-0.25119287206412527
2019-07-18,-0.25380046969337494
2019-07-19,-0.2590658596389045
2019-07-22,-0.2584981257189658
2019-07-23,-0.2588891836375283
2019-07-24,-0.2664607897304108
2019-07-25,-0.26277135793898077
2019-07-26,-0.26269957349657946
2019-07-29,-0.26219689422998066
2019-07-30,-0.26321532187653235
2019-07-31,-0.2613127366310677
2019-08-01,-0.2633936335925607
2019-08-02,-0.27480956960399133
2019-08-05,-0.2900432467101974
2019-08-06,-0.3015593180063871
2019-08-07,-0.2954231584682382
2019-08-08,-0.29862319619917077
2019-08-09,-0.30336864183794654
2019-08-12,-0.3015670681490897
2019-08-13,-0.30163496612854385
2019-08-14,-0.3000637834907421
2019-08-16,-0.3108043131816386
2019-08-19,-0.31319653352464977
2019-08-20,-0.31136770159263794
2019-08-21,-0.31308356293338596
2019-08-22,-0.3101157433522528
2019-08-23,-0.30676126499727724
2019-08-26,-0.30173429327144
2019-08-27,-0.30521478726254964
2019-08-28,-0.30513831622434223
2019-08-29,-0.30464061115055185
2019-08-30,-0.30931558758188615
2019-09-02,-0.3082196554868512
2019-09-03,-0.3081859514722242
2019-09-04,-0.3101460570345375
2019-09-05,-0.3195198526301497
2019-09-06,-0.3215647608479664
2019-09-09,-0.3227223089976619
2019-09-10,-0.3226469009946554
2019-09-11,-0.3232223714112063
2019-09-16,-0.33216302781044793
2019-09-17,-0.3324332637184096
2019-09-18,-0.3310266608654505
2019-09-19,-0.3246557400708329
2019-09-20,-0.32292052288300316
2019-09-23,-0.3226863964416961
2019-09-24,-0.3234074937130833
2019-09-25,-0.3234361434516594
2019-09-26,-0.3261246175554049
2019-09-27,-0.3255305255314979
2019-09-30,-0.3186364656867615
2019-10-01,-0.3200736640911872
2019-10-02,-0.32408271770322267
2019-10-04,-0.3235592744176886
2019-10-07,-0.3235620600524868
2019-10-08,-0.3150308512780246
2019-10-10,-0.31385628750297706
2019-10-11,-0.31888802241484926
2019-10-14,-0.3240015714874069
2019-10-15,-0.3222169204642263
2019-10-16,-0.3097918818842256
2019-10-17,-0.30947446162803727
2019-10-18,-0.3037099983481578
2019-10-21,-0.30337395375821374
2019-10-22,-0.2840437167916853
2019-10-23,-0.27495420010065774
2019-10-24,-0.2782895505278758
2019-10-25,-0.27776786749919735
2019-10-28,-0.2699223597894869
2019-10-29,-0.26641173016767855
2019-10-30,-0.2710935690743307
2019-10-31,-0.27066058723536696
2019-11-01,-0.27229814098702276
2019-11-04,-0.27552179182227626
2019-11-05,-0.2771418877850312
2019-11-06,-0.28335985845342615
2019-11-07,-0.2788267874852994
2019-11-08,-0.28119430378820276
2019-11-11,-0.2784889178411175
2019-11-12,-0.27286059867449985
2019-11-13,-0.24264328065639074
2019-11-14,-0.2553433966333342
2019-11-15,-0.2614453242538737
2019-11-18,-0.26167455776841686
2019-11-19,-0.2600599598678563
2019-11-20,-0.2576245725902361
2019-11-21,-0.2589554815684868
2019-11-22,-0.254158009173254
2019-11-25,-0.2508780297653823
2019-11-26,-0.24947533320500692
2019-11-27,-0.24894987783497913
2019-11-28,-0.24822157067442593
2019-11-29,-0.24479859094180495
2019-12-02,-0.24310216296789086
2019-12-03,-0.24251465364669378
2019-12-04,-0.24627389178570797
2019-12-05,-0.24506089585587898
2019-12-06,-0.2429964900644778
2019-12-09,-0.24420440817589226
2019-12-10,-0.24215057380632607
2019-12-11,-0.24695386683654788
2019-12-12,-0.24929413163794137
2019-12-13,-0.2799839483016599
2019-12-16,-0.27912823809828713
2019-12-17,-0.2847624894285066
2019-12-18,-0.2882332588351534
2019-12-19,-0.28592091865691316
2019-12-20,-0.2880758629517037
2019-12-23,-0.2839191937067817
2019-12-24,-0.2830450596896818
2019-12-26,-0.2809869323951809
2019-12-27,-0.28134415409018554
2019-12-30,-0.28341215975694034
2020-01-02,-0.2715596813190972
2020-01-03,-0.26915715409825225
2020-01-06,-0.27711062128235675
2020-01-07,-0.2737311702504414
2020-01-08,-0.2809288649580113
2020-01-09,-0.2871105935829836
2020-01-10,-0.28759744230688483
2020-01-13,-0.3014046594089145
2020-01-14,-0.29709199787790913
2020-01-15,-0.3002503236836884
2020-01-16,-0.29015021915150285
2020-01-17,-0.28906951121771723
2020-01-20,-0.30191777347689175
2020-01-21,-0.2976470699553361
2020-01-22,-0.27750196316716574
2020-01-23,-0.26968378787175
2020-01-28,-0.3072092086449998
2020-01-29,-0.30816343595999507
2020-01-30,-0.31169757743130994
2020-01-31,-0.3220128683719323
2020-02-03,-0.3213801940462363
2020-02-04,-0.32693796351461496
2020-02-05,-0.32709100046347805
2020-02-06,-0.3146254598772264
2020-02-07,-0.31845634238614434
2020-02-10,-0.32300517438665644
2020-02-11,-0.3272986347709306
2020-02-12,-0.32844436346217704
2020-02-13,-0.33069056137909475
2020-02-14,-0.32729588001447346
2020-02-17,-0.3301028789713544
2020-02-18,-0.3291092380446063
2020-02-19,-0.3276666713839691
2020-02-20,-0.3291289453931869
2020-02-21,-0.3393418022509668
2020-02-24,-0.3345276618059337
2020-02-25,-0.31361288847557384
2020-02-26,-0.3065414741200936
2020-02-27,-0.3024641093110795
2020-02-28,-0.2910484494841105
2020-03-02,-0.29578672724533367
2020-03-03,-0.2989978180250122
2020-03-04,-0.29946161987903347
2020-03-05,-0.303378526393351
2020-03-06,-0.30555504815629564
2020-03-09,-0.29495995895911936
2020-03-10,-0.288620970989819
2020-03-11,-0.24464029191652978
2020-03-12,-0.2506938529396633
2020-03-13,-0.2881546116411831
2020-03-16,-0.2801944664342729
2020-03-17,-0.30359361878204505
2020-03-18,-0.30668343045786695
2020-03-19,-0.3532561415550705
2020-03-20,-0.32531970195562
2020-03-23,-0.3103088880618183
2020-03-24,-0.2506345880502394
2020-03-25,-0.31590556363274475
2020-03-26,-0.316467523446027
2020-03-27,-0.32488351160756634
2020-03-30,-0.3252200392918125
2020-03-31,-0.307213004074359
2020-04-01,-0.2920153475013551
2020-04-02,-0.26812828567996677
2020-04-03,-0.2665900572231313
2020-04-06,-0.24777363737328673
2020-04-07,-0.2561895213128068
2020-04-08,-0.25187544088852204
2020-04-09,-0.2542508355528746
2020-04-10,-0.256457313964099
2020-04-13,-0.25668047438285374
2020-04-14,-0.2542933547532934
2020-04-16,-0.25381851315066045
2020-04-17,-0.24678190317501653
2020-04-20,-0.24155784035032588
2020-04-21,-0.2435188866883993
2020-04-22,-0.23624870346978397
2020-04-23,-0.23594737995324955
2020-04-24,-0.23595501738979222
2020-04-27,-0.24181928702161218
2020-04-28,-0.24378431034649634
2020-04-29,-0.24391311522248538
2020-05-04,-0.24641124973230943
2020-05-06,-0.2473030667806223
2020-05-07,-0.24660856198529962
2020-05-08,-0.24838766859159353
2020-05-11,-0.24783659181222265
2020-05-12,-0.24836015575482245
2020-05-13,-0.2484314845801587
